title,developer,publisher,genre,na_date,eu_date,jp_date,au_date,asia_date,kr_date,format,media,notes
Atari Flashback Classics,AtGames,Atari,Compilation,Yes,,,,,,,,
Atelier Ayesha Plus: The Alchemist of Dusk,Gust Co. Ltd.,Koei Tecmo,Role-playing,Yes,,,,,,,,
Atelier Escha & Logy Plus: Alchemists of the Dusk Sky,Gust Co. Ltd.,Koei Tecmo,Role-playing,Yes,,,,,,,,
Atelier Firis: The Alchemist and the Mysterious Journey,Gust Co. Ltd.,Koei Tecmo,Role-playing,Yes,,,,,,,,
Atelier Lydie & Suelle: The Alchemists and the Mysterious Paintings,Gust Co. Ltd.,Koei Tecmo,Role-playing,Yes,,,,,,,,
Atelier Meruru Plus: The Apprentice of Arland,Gust Co. Ltd.,Tecmo Koei,Role-playing,Yes,,,,,,,,
Atelier Rorona Plus: The Alchemist of Arland,Gust Co. Ltd.,Tecmo Koei,Role-playing,Yes,,,,,,,,
Atelier Shallie Plus: Alchemists of the Dusk Sea,Gust Co. Ltd.,Koei Tecmo,Role-playing,Yes,,,,,,,,
Atelier Sophie: The Alchemist of the Mysterious Book,Gust Co. Ltd.,Koei Tecmo,Role-playing,Yes,,,,,,,,
Atelier Totori Plus: The Adventurer of Arland,Gust Co. Ltd.,Tecmo Koei,Role-playing,Yes,,,,,,,,
Atomic Ninjas,Grip Games,Grip Games,Platform,Yes,,,,,,,,
Attack of the Toy Tanks,Ratalaika Games,Ratalaika Games,Shooter,No,,,,,,,,
