Title,Developer,Publisher,Genre,Notes
Astro Aqua Kitty,Tikipod Limited,Tikipod Limited,Shooter,
Atari Flashback Classics,AtGames,Atari,Compilation,
Atelier Ayesha Plus: The Alchemist of Dusk,Gust Co. Ltd.,Koei Tecmo,Role-playing,
Atelier Escha & Logy Plus: Alchemists of the Dusk Sky,Gust Co. Ltd.,Koei Tecmo,Role-playing,
Atelier Firis: The Alchemist and the Mysterious Journey,Gust Co. Ltd.,Koei Tecmo,Role-playing,
Atelier Lydie & Suelle: The Alchemists and the Mysterious Paintings,Gust Co. Ltd.,Koei Tecmo,Role-playing,
Atelier Meruru Plus: The Apprentice of Arland,Gust Co. Ltd.,Tecmo Koei,Role-playing,
Atelier Rorona Plus: The Alchemist of Arland,Gust Co. Ltd.,Tecmo Koei,Role-playing,
Atelier Shallie Plus: Alchemists of the Dusk Sea,Gust Co. Ltd.,Koei Tecmo,Role-playing,
Atelier Sophie: The Alchemist of the Mysterious Book,Gust Co. Ltd.,Koei Tecmo,Role-playing,
Atelier Totori Plus: The Adventurer of Arland,Gust Co. Ltd.,Tecmo Koei,Role-playing,
Atomic Ninjas,Grip Games,Grip Games,Platform,
Attack of the Toy Tanks,Ratalaika Games,Ratalaika Games,Shooter,
Attack on Titan,Omega Force,Koei Tecmo,Action,
Attack on Titan 2,Omega Force,Koei Tecmo,Action,
Attractio,GameCoder Studios Renderfarm Studios,Bandai Namco Entertainment,Puzzle-platform,
Awesome Pea,Pigeon Dev Games,Pigeon Dev Games,Platform,
Awesome Pea 2,Pigeon Dev Games,Pigeon Dev Games,Platform,
Axiom Verge,Thomas Happ Games Sickhead Games,Thomas Happ Games,Metroidvania,
Ayakashi Gohan: Oomori!,Honeybee,Honeybee,Otome game,
"Azayaka na Irodori no Naka de, Kimi Rashiku",Prekano,Entergram,Visual novel,
Azkend 2: The World Beneath,10tons,10tons,Puzzle,
Baboon!,Relevo Videogames,Relevo Videogames,Platform,
Back in 1995,Throw the Warped Code Out,Ratalaika Games,Survival horror,
Back to Bed,Bedtime Digital Games,JP : Nippon Ichi Software WW : Loot Interactive,Puzzle,
Backgammon Blitz,VooFoo Studios,The Fyzz Facility,Sports,
Bad Apple Wars,Otomate,JP : Idea Factory WW : Aksys Games,Otome game,
Badland: Game of the Year Edition,Frogmind BlitWorks,Frogmind,Platform,
Bakumatsu Rock: Ultra Soul,Marvelous,Marvelous,Visual novel rhythm,
Balthazar's Dream,Hidden Trap,Hidden Trap,Puzzle-platform,
Banbutsu Otome Dungeons,UserJoy Japan,UserJoy Japan,Dungeon crawler,
Bara ni Kakusareshi Verite,Ichi Column,Idea Factory,Otome game Adventure,
Bard's Gold,Pixel Lantern,JP : EastAsiaSoft WW : Pixel Lantern,Platform,
Baseball Riot,10tons,10tons,Action,
Bastion,Supergiant Games BlitWorks,Warner Bros. Interactive Entertainment,Action role-playing,
Batman: Arkham Origins Blackgate,Armature Studio,Warner Bros. Interactive Entertainment,Action-adventure,
Battalion Commander,A-steroids,Smartphone Labs,Shooter,
Battle Rockets,Gumbo Machine Fordesoft,Gumbo Machine,"Shooter, Fighting",
Believer!,HuneX,D3 Publisher,Otome game,
Ben 10: Galactic Racing,Monkey Bar Games,D3 Publisher,Racing,
Beniiro Tenjō Ayakashi Kitan Futaai,HolicWorks,Dramatic Create,Visual novel,
Bentley's Hackpack,Sanzaru Games,Sony Computer Entertainment,Arcade,
Bento Fujiyama Tamagoyaki,iTA-Choco Systems,Pygmy Studio,Simulation,
Berserk and the Band of the Hawk,Omega Force,Koei Tecmo,Action,
Best of Arcade Games,Eko Software,Bigben Interactive,Arcade,
Best of Board Games,Bigben Interactive,Bigben Interactive,Arcade,
Big Dipper,Top Hat Studios Inc,Top Hat Studios Inc,Visual novel,
Big Sky: Infinity,Boss Baddie VooFoo Studios,Ripstone,Shooter,
BigFest,On the Metal XDev,Sony Computer Entertainment,Simulation,
BinaryStar,Otomate Design Factory,Idea Factory,Otome game,
Bit Dungeon Plus,Dolores Entertainment,JP : Cosen WW : Hidden Trap,Roguelike,
Bit.Trip,Choice Provisions,Choice Provisions,Platform,
Bit.Trip Presents... Runner2: Future Legend of Rhythm Alien,Gaijin Games,Gaijin Games,Platform,
Bitter Smile,Giga Daidai,Technical Group Laboratory,Visual novel,
Black Wolves Saga: Weiβ und Schwarz,Rejet Otomate,Idea Factory,Otome game,
Blast 'Em Bunnies,Nnooo,JP : Teyon WW : Nnooo,Shooter,
Blasting Agent: Ultimate Edition,Axol Studio Ratalaika Games,Ratalaika Games,Platform,
BlazBlue: Chrono Phantasma,Arc System Works,JP : Arc System Works NA : Aksys Games,Fighting,
BlazBlue: Chrono Phantasma Extend,Arc System Works,JP : Arc System Works NA : Aksys Games,Fighting,
BlazBlue: Continuum Shift Extend,Arc System Works,JP : Arc System Works NA : Aksys Games EU : PQube,Fighting,
Blind Men,Man-Eater Games,Man-Eater Games,Visual novel,
Block-a-Pix Deluxe,Lightwood Games,Lightwood Games,Puzzle,
Bloodstained: Curse of the Moon,Inti Creates Armature Studio,505 Games,Metroidvania,
Bloxiq,Blot Interactive,Blot Interactive,Puzzle,
Blue Reflection,Gust Co. Ltd.,Koei Tecmo,Role-playing,
Blue-Collar Astronaut,Mutated Software,Mutated Software,Action,
Bodycheck,Ludometrics,Ludometrics,Sports,
Boku to Nurse no Kenshū Nisshi,Prekano,Entergram,Visual novel,
Boku wa Mori Sekai no Kami Tonaru,Pygmy Studio,Pygmy Studio,Action,
Bombing Busters,Sanuk Games,Sanuk Games,Action,
Bonds of the Skies,Hit Point,Kemco,Action role-playing,
Boolink,Planet G,Planet G,Shoot 'em up,
Borderlands 2,Gearbox Software Iron Galaxy Studios,Sony Computer Entertainment,First-person shooter,
Boss!,Fair Play Labs,Fair Play Labs,Action,
Bouncy Bullets,Ratalaika Games,Ratalaika Games,Action,
Breach & Clear,Mighty Rabbit Studios,Gun Media,Turn-based strategy,
BreakQuest: Extra Evolution,Beatshapers,Beatshapers,Action,
Breeder Homegrown: Director's Cut,Sometimes You,Sometimes You,Adventure,
Bridge Constructor,Clockstone Studio Stage Clear Studios,Headup Games,Simulation,
Broken Age: The Complete Adventure,Double Fine Productions,Double Fine Productions,Adventure,
"Broken Sword 5: The Serpent's Curse, Episode 1",Revolution Software,Revolution Software,Adventure,
"Broken Sword 5: The Serpent's Curse, Episode 2",Revolution Software,Revolution Software,Adventure,
Brotherhood United,EastAsiaSoft,EastAsiaSoft,Platform,
Brothers Conflict: Precious Baby,Otomate,Idea Factory,Otome game Dating sim,
Browser San Goku Shi Next,Marvelous Inc.,Marvelous Inc.,Strategy,
Bucket Knight,Sometimes You,Sometimes You,Platform,
Bullet Girls,Shade,D3 Publisher,Third-person shooter,
Bullet Girls 2,Shade,D3 Publisher,Third-person shooter,
Bullet Girls Phantasia,Shade,D3 Publisher,Third-person shooter,
Bunny Must Die! Chelsea and the 7 Devils,Platine Dispositif,Mediascape,Platform,
Buried Stars,Studio Largo,LINE Games,Visual novel,
Burly Men at Sea,Brain&Brain,Brain&Brain,Adventure,
Burn the Rope,RingZero Game Studio,Big Blue Bubble,Puzzle,
Cafe Cuillere,Takuyo,Takuyo,Otome game,
Call of Duty: Black Ops: Declassified,Nihilistic Software,Activision,First-person shooter,
Captain Earth: Mind Labyrinth,Bandai Namco Games,Bandai Namco Games,Visual novel Puzzle,
Castle Invasion: Throne Out,Cat Trap Studios,Cat Trap Studios,Tower defense,
CastleStorm,Zen Studios,JP : Spike Chunsoft WW : Zen Studios,Tower defense,
Catherine: Full Body,Atlus Studio Zero,Atlus,Puzzle-platform adventure,
Cel Damage HD,Pseudo Interactive Finish Line Games,Finish Line Games,Vehicular combat,
Chain Chronicle V,Sega,Sega,Role-playing,
Chaos Rings,Media.Vision Bullet,Square Enix,Role-playing,
